locality_identifier,household_identifier,treatment_locality,promotion_locality,eligible,enrolled,enrolled_rp,poverty_index,round,age_hh,age_sp,educ_hh,educ_sp,female_hh,indigenous,hhsize,dirtfloor,bathroom,land,school_distance,school,attendance_freq,attendance_rate
26,5,1,1,1,1,1,55.95054244995117,0,24,23,0,6,0,0,4,1,0,1,124.81996625011809,0,101.64518737792969,87.00216401168505
26,5,1,1,1,1,1,55.95054244995117,1,25,24,0,6,0,0,4,1,0,1,124.81996625011809,0,97.24974060058594,83.23992606130152
26,11,1,1,1,1,0,46.05873107910156,0,30,26,4,0,0,0,6,1,0,2,124.81996625011809,0,103.75438594818115,88.80751106918947
26,11,1,1,1,1,0,46.05873107910156,1,31,27,4,0,0,0,6,1,0,2,124.81996625011809,1,114.43178820610046,97.94672490140222
26,13,1,1,1,1,0,54.0958251953125,1,59,57,0,0,0,0,6,1,0,4,124.81996625011809,1,116.83064270019531,100
26,13,1,1,1,1,0,54.0958251953125,0,58,56,0,0,0,0,6,1,0,4,124.81996625011809,0,101.54428958892822,86.91580157570978
26,16,1,1,1,1,1,56.90340042114258,1,36,25,3,0,0,0,7,1,0,2,124.81996625011809,0,96.8037338256836,82.85817109993675
26,16,1,1,1,1,1,56.90340042114258,0,35,24,3,0,0,0,7,1,0,2,124.81996625011809,0,105.51888179779053,90.31781333991937
26,21,1,1,1,1,1,46.908809661865234,0,37,35,0,0,0,0,7,1,0,2,124.81996625011809,0,105.6067304611206,90.39300650953626
26,21,1,1,1,1,1,46.908809661865234,1,39,36,0,0,0,0,7,1,0,2,124.81996625011809,0,100.16595649719238,85.73603138881383
26,22,1,1,1,1,1,48.18392562866211,0,34,41,0,2,1,0,9,1,0,1,124.81996625011809,0,107.9537181854248,92.40188677421727
26,22,1,1,1,1,1,48.18392562866211,1,35,41,0,2,1,0,9,1,0,1,124.81996625011809,0,116.71509627997875,99.90109921716936
26,23,1,1,1,1,0,49.690879821777344,1,31,30,0,6,0,0,7,0,0,1,124.81996625011809,0,116.83064270019531,100
26,23,1,1,1,1,0,49.690879821777344,0,30,29,0,6,0,0,7,0,0,1,124.81996625011809,0,104.14482593536377,89.14170420393455
26,25,1,1,1,1,1,57.109737396240234,1,58,57,3,0,0,0,9,0,0,4,124.81996625011809,0,99.6069450378418,85.25755121749003
26,25,1,1,1,1,1,57.109737396240234,0,57,56,3,0,0,0,9,0,0,4,124.81996625011809,0,104.16255378723145,89.15687817837991
26,27,1,1,1,1,1,49.690879821777344,0,24,28,2,6,0,0,7,1,0,2,124.81996625011809,0,106.25002956390381,90.94363183172507
26,27,1,1,1,1,1,49.690879821777344,1,25,29,2,6,0,0,7,1,0,2,124.81996625011809,0,115.54574179649353,98.9002021438853
26,28,1,1,1,1,1,52.62751007080078,0,40,36,0,2,0,0,9,1,0,1,124.81996625011809,0,109.59993410110474,93.81094853886438
26,28,1,1,1,1,1,52.62751007080078,1,40,37,0,2,0,0,9,1,0,1,124.81996625011809,0,110.41316032409668,94.50702125078021
26,29,1,1,1,1,1,53.94126892089844,1,24,23,5,5,0,0,4,0,0,1,124.81996625011809,0,114.30067133903503,97.83449675300292
26,29,1,1,1,1,1,53.94126892089844,0,23,22,5,5,0,0,4,0,0,1,124.81996625011809,0,98.263702392578125,84.10781634124645
26,31,1,1,1,1,0,50.18547439575195,0,40,35,2,6,0,0,9,0,0,5,124.81996625011809,0,105.34021186828613,90.1648826315239
26,31,1,1,1,1,0,50.18547439575195,1,41,36,2,6,0,0,9,0,0,5,124.81996625011809,0,115.40277171134949,98.77782835406464
26,37,1,1,1,1,1,52.12519454956055,1,28,27,3,0,0,0,5,1,0,2,124.81996625011809,0,105.73740482330322,90.5048559003831
26,37,1,1,1,1,1,52.12519454956055,0,27,26,3,0,0,0,5,1,0,2,124.81996625011809,0,101.9951696395874,87.30172776787856
26,39,1,1,1,1,0,48.27434158325195,1,51,46,2,0,0,0,5,1,0,5,124.81996625011809,0,110.34828090667725,94.45148837351451
26,39,1,1,1,1,0,48.27434158325195,0,50,45,2,0,0,0,5,1,0,5,124.81996625011809,0,98.74786949157715,84.52223424378377
26,41,1,1,1,1,0,53.348533630371094,1,47,39,0,0,0,0,7,1,0,2,124.81996625011809,0,111.90709972381592,95.78574348083154
26,41,1,1,1,1,0,53.348533630371094,0,46,38,0,0,0,0,7,1,0,2,124.81996625011809,0,104.83610343933105,89.73339615049109
26,43,1,1,1,1,1,54.430450439453125,1,41,37,4,0,0,0,8,0,0,2,124.81996625011809,0,116.47658997774124,99.69695217430018
26,43,1,1,1,1,1,54.430450439453125,0,40,36,4,0,0,0,8,0,0,2,124.81996625011809,0,103.80434703826904,88.8502747559528
26,44,1,1,1,1,1,53.1684684753418,0,25,41,0,2,1,0,5,1,0,0,124.81996625011809,0,100.78715705871582,86.26774168943892
26,44,1,1,1,1,1,53.1684684753418,1,26,41,0,2,1,0,5,1,0,0,124.81996625011809,0,115.62065291404724,98.96432155281977
26,50,1,1,1,1,1,49.38176345825195,1,41,37,3,0,0,0,10,1,0,3,124.81996625011809,0,113.71962428092957,97.33715543511211
26,50,1,1,1,1,1,49.38176345825195,0,40,37,3,0,0,0,10,1,0,3,124.81996625011809,0,110.27488470077515,94.38866563779573
26,51,1,1,1,1,1,57.49613571166992,0,26,20,6,0,0,0,2,1,0,1,124.81996625011809,0,96.63099479675293,82.71031688554717
26,51,1,1,1,1,1,57.49613571166992,1,27,21,6,0,0,0,2,1,0,1,124.81996625011809,0,67.1454963684082,57.47250448729745
